"province","year","scope1_total"
"Jiangxi",2014,207.660080446449
"Jiangxi",2015,216.135882537863
"Jiangxi",2016,219.102571420849
"Jiangxi",2017,228.979603007775
"Jiangxi",2018,236.629284772599
"Jiangxi",2019,242.308256497832
"Jiangxi",2020,241.516307343098
"Jiangxi",2021,245.414804786767
"Jiangxi",2022,223.645074946473
"Jilin",2008,179.356841780455
"Jilin",2009,185.731687179948
"Jilin",2010,202.647674262803
"Jilin",2011,234.433201893691
"Jilin",2012,229.936903092386
"Jilin",2013,223.477678174203
"Jilin",2014,223.31449659944
"Jilin",2015,208.313595988104
"Jilin",2016,201.394047335111
"Jilin",2017,204.336008241019
"Jilin",2018,196.318432034517
"Jilin",2019,203.661561288323
"Jilin",2020,200.593821511083
"Jilin",2021,204.625419509102
"Jilin",2022,186.839588764021
"Liaoning",2008,371.406413845229
"Liaoning",2009,406.892743051116
"Liaoning",2010,458.759677276089
"Liaoning",2011,471.242756369063
"Liaoning",2012,481.316773031272
"Liaoning",2013,502.555428956762
"Liaoning",2014,506.38679603461
"Liaoning",2015,493.944343166703
"Liaoning",2016,480.46909233874
"Liaoning",2017,496.832435319365
"Liaoning",2018,521.002778610988
"Liaoning",2019,533.388435865284
"Liaoning",2020,543.873935285828
"Liaoning",2021,545.674048308261
"Liaoning",2022,525.713479151335
"Ningxia",2008,75.3902521391059
"Ningxia",2009,79.9977662350173
"Ningxia",2010,97.9151904224545
"Ningxia",2011,139.837826326354
"Ningxia",2012,136.586139015751
"Ningxia",2013,144.108362423488
"Ningxia",2014,144.572756369138
"Ningxia",2015,141.821275481159
"Ningxia",2016,139.49294795748
"Ningxia",2017,178.62443190329
"Ningxia",2018,191.589038029348
"Ningxia",2019,212.413783553335
"Ningxia",2020,225.910830195951
"Ningxia",2021,235.318051076706
"Ningxia",2022,247.423050285139
"Qinghai",2008,31.5743831821182
"Qinghai",2009,33.4567010245663
"Qinghai",2010,32.011273447716
"Qinghai",2011,36.8548645069952
"Qinghai",2012,44.9078850164483
"Qinghai",2013,48.1493511776158
"Qinghai",2014,48.7531564259549
"Qinghai",2015,51.356416779516
"Qinghai",2016,56.6716968474342
"Qinghai",2017,53.4861511074583
"Qinghai",2018,51.9379739318779
"Qinghai",2019,51.7524033337068
"Qinghai",2020,47.9265034692119
"Qinghai",2021,56.3810183420015
"Qinghai",2022,55.3334344741701
"Shaanxi",2008,165.361509604559
"Shaanxi",2009,185.950595134729
"Shaanxi",2010,225.257072763346
"Shaanxi",2011,248.071823817291
"Shaanxi",2012,268.677029983577
"Shaanxi",2013,273.346827855695
"Shaanxi",2014,285.34407571155
"Shaanxi",2015,284.025106293031
"Shaanxi",2016,272.288743204809
"Shaanxi",2017,274.029639185478
"Shaanxi",2018,276.165925723287
"Shaanxi",2019,296.2725401668
"Shaanxi",2020,309.784522890704
"Shaanxi",2021,339.104428070125
"Shaanxi",2022,365.526129061286
"Shandong",2008,697.730108206895
"Shandong",2009,717.996111404959
"Shandong",2010,795.764140397353
"Shandong",2011,831.190785238098
"Shandong",2012,873.528980756926
"Shandong",2013,795.312910034458
"Shandong",2014,819.946931650812
"Shandong",2015,855.289353511037
"Shandong",2016,864.255269651618
"Shandong",2017,837.091018686765
"Shandong",2018,902.904569958245
"Shandong",2019,938.623952753534
"Shandong",2020,927.635533074158
"Shandong",2021,947.162916768497
"Shandong",2022,920.905304452066
"Shanghai",2008,178.154545696192
"Shanghai",2009,179.058757628587
"Shanghai",2010,195.503028277744
"Shanghai",2011,201.494692074047
"Shanghai",2012,195.926394292253
"Shanghai",2013,207.6336299104
"Shanghai",2014,194.219946924818
"Shanghai",2015,195.323781792194
"Shanghai",2016,194.70978472737
"Shanghai",2017,196.153508548694
"Shanghai",2018,190.641610428532
"Shanghai",2019,192.912182202166
"Shanghai",2020,179.89884417441
"Shanghai",2021,194.07221824893
"Shanghai",2022,178.588614209177
"Shanxi",2008,370.905572222662
"Shanxi",2009,375.424135643172
"Shanxi",2010,443.010211698084
"Shanxi",2011,474.815966623553
"Shanxi",2012,501.494772546674
"Shanxi",2013,508.75768023823
"Shanxi",2014,498.32294433857
"Shanxi",2015,461.609438446486
"Shanxi",2016,474.563664000773
"Shanxi",2017,508.588454203344
"Shanxi",2018,541.683591128264
"Shanxi",2019,564.863335419597
"Shanxi",2020,583.248583824907
"Shanxi",2021,613.728119536092
"Shanxi",2022,629.336654408677
"Sichuan",2008,230.142200424072
"Sichuan",2009,263.114779515293
"Sichuan",2010,304.460861989703
"Sichuan",2011,308.646932392617
"Sichuan",2012,338.287215735507
"Sichuan",2013,351.769103097847
"Sichuan",2014,351.479893606324
"Sichuan",2015,332.377429265006
"Sichuan",2016,319.09752066659
"Sichuan",2017,318.840771464251
"Sichuan",2018,296.312542841121
"Sichuan",2019,315.163355136338
"Sichuan",2020,307.553488361691
"Sichuan",2021,314.901880950459
"Sichuan",2022,307.863676214341
"Tianjin",2008,110.230151604369
"Tianjin",2009,122.346881505351
"Tianjin",2010,139.152455087994
"Tianjin",2011,154.289343771918
"Tianjin",2012,160.325300138126
"Tianjin",2013,159.651405048541
"Tianjin",2014,158.105102633357
"Tianjin",2015,154.353027442504
"Tianjin",2016,148.945871170961
"Tianjin",2017,143.990987149696
"Tianjin",2018,154.336749792366
"Tianjin",2019,158.466482039819
"Tianjin",2020,161.872530601664
"Tianjin",2021,155.545984470301
"Tianjin",2022,152.678504319368
"Xinjiang",2008,137.18970466869
"Xinjiang",2009,156.913401190345
"Xinjiang",2010,169.318860391565
"Xinjiang",2011,206.386970478773
"Xinjiang",2012,256.080891538687
"Xinjiang",2013,296.459224112884
"Xinjiang",2014,332.081926831215
"Xinjiang",2015,345.729701462627
"Xinjiang",2016,373.612506116726
"Xinjiang",2017,407.756088491733
"Xinjiang",2018,421.422550385871
"Xinjiang",2019,455.274574437606
"Xinjiang",2020,466.895607300014
"Xinjiang",2021,520.710125694009
"Xinjiang",2022,524.476393687672
"Yunnan",2008,163.765254264694
"Yunnan",2009,187.167017428968
"Yunnan",2010,198.126342692032
"Yunnan",2011,209.161009084033
"Yunnan",2012,215.818475312003
"Yunnan",2013,211.506979912879
"Yunnan",2014,199.73043717106
"Yunnan",2015,179.815726217958
"Yunnan",2016,183.884608881383
"Yunnan",2017,199.008898534891
"Yunnan",2018,212.244111484533
"Yunnan",2019,223.279321499963
"Yunnan",2020,235.642074451337
"Yunnan",2021,234.368091542853
"Yunnan",2022,220.046746229424
"Zhejiang",2008,330.161126031889
"Zhejiang",2009,338.474607812529
"Zhejiang",2010,361.120355733812
"Zhejiang",2011,382.705656145378
"Zhejiang",2012,380.758441162038
"Zhejiang",2013,382.428833355554
"Zhejiang",2014,378.777646276331
"Zhejiang",2015,378.841713867574
"Zhejiang",2016,374.571910642678
"Zhejiang",2017,384.564190075313
"Zhejiang",2018,388.825337517578
"Zhejiang",2019,381.407215710234
"Zhejiang",2020,386.972900857218
"Zhejiang",2021,442.202952948787
"Zhejiang",2022,460.894579359081
