"year","province","coal","oil","gas","fossil_total","coal_share"
2008,"Beijing",43.03376,34.2550098,12.4261866666667,89.7149564666667,0.479672082502643
2008,"Tianjin",63.6451379666667,24.0058228666667,3.49811,91.1490708333333,0.698253283163382
2008,"Hebei",410.981436433333,41.2668351333333,3.71444333333333,455.9627149,0.901348779194519
2008,"Shanxi",586.296510066667,0,1.4278,587.724310066667,0.997570629671864
2008,"Inner mongolia",417.6356492,5.76370813333333,4.32666666666667,427.726024,0.976409256781626
2008,"Liaoning",244.293935233333,178.269360133333,2.04218666666667,424.605482033333,0.575343337687183
2008,"Jilin",151.924871633333,28.101073,2.98972666666667,183.0156713,0.830119467661857
2008,"Heilongjiang",177.538883866667,51.8583171333334,4.25744,233.654641,0.759834613628182
2008,"Shanghai",76.0574136666667,59.9645126446667,6.17415333333333,142.196079644667,0.534877008260188
2008,"Jiangsu",340.864898,70.8335701333333,13.4970366666667,425.1955048,0.801666278575389
2008,"Zhejiang",234.979417933333,70.282539602,3.8291,309.091057535333,0.760227163500102
2008,"Anhui",208.767345233333,13.0643641333333,1.44294333333333,223.2746527,0.935024834699176
2008,"Fujian",113.992505733333,9.59255806666667,0.33099,123.9160538,0.919917171646837
2008,"Jiangxi",87.0418175,12.5721229333333,0.540833333333333,100.154773766667,0.869073077862306
2008,"Shandong",641.511403009327,142.171184654767,7.4635,791.146087664093,0.810863395537262
2008,"Henan",274.100167733333,20.2817508666667,6.86858333333333,301.250501933333,0.909874559458798
2008,"Hubei",163.7412612,26.9982929333333,3.39210666666667,194.1316608,0.843454697318491
2008,"Hunan",160.105530566667,18.8320667333333,1.69389,180.6314873,0.886365566490393
2008,"Guangdong",224.633497,93.4517767333333,11.2926,329.377873733333,0.681993281618743
2008,"Guangxi",76.563058,4.09586466666667,0.218431766666667,80.8773544333333,0.946656311107585
2008,"Hainan",8.3498932,24.9420644,0.49324,33.7851976,0.247146495896179
2008,"Chongqing",100.323733766667,0.000614533333333333,10.3623666666667,110.686714966667,0.906375564555143
2008,"Sichuan",193.248295533333,8.7451166,14.5851933333333,216.578605466667,0.892277864274437
2008,"Guizhou",188.3940069,0,1.02542,189.4194269,0.994586510915053
2008,"Yunnan",139.18925132959,0.00346289533333333,0.0655040026666667,139.25821822759,0.999504755274929
2008,"Shaanxi",197.711950333333,58.6605866,7.90549063333333,264.278027566667,0.748121030544087
2008,"Gansu",77.4922382666667,42.8440349333333,1.59221333333333,121.928486533333,0.635554827833293
2008,"Qinghai",23.1127921126667,3.35562854,4.3204579,30.7888785526667,0.750686390643638
2008,"Ningxia",100.4607758,5.646025,0.793943333333334,106.900744133333,0.939757497615723
2008,"Xinjiang",102.569623933333,56.8431042666667,14.9702666666667,174.382994866667,0.588185929549829
2009,"Beijing",42.7448556333333,35.7305043333333,13.9643166666667,92.4396766333333,0.462408104291439
2009,"Tianjin",66.3140727333333,25.9157924666667,3.79232333333333,96.0221885333333,0.690611969444051
2009,"Hebei",433.510054266667,41.9578778666667,4.53867333333333,480.006605466667,0.903133518017329
2009,"Shanxi",578.859004533333,0,2.97674666666667,581.8357512,0.994883871160328
2009,"Inner mongolia",450.6597227,5.87248053333333,7.86155333333334,464.393756566667,0.97042588606659
2009,"Liaoning",264.6949547,176.023855333333,2.36885,443.087660033333,0.597387331166224
2009,"Jilin",161.519731266667,26.1631421333333,3.60195,191.2848234,0.844393864582289
2009,"Heilongjiang",200.257149766667,61.9796811333333,4.80909,267.0459209,0.749897804436625
2009,"Shanghai",74.3978547693333,59.5231518257163,6.36906966666667,140.290076261716,0.530314450970441
2009,"Jiangsu",348.862148433333,81.5018688,13.5359766666667,443.8999939,0.785902575416398
2009,"Zhejiang",239.394542192667,76.9949151326667,4.12980333333333,320.519260658667,0.746895964070026
2009,"Anhui",236.202830966667,13.9465267333333,1.90806,252.0574177,0.937099305078958
2009,"Fujian",122.440512333333,21.6933339333333,1.83667216333333,145.97051843,0.838803024406942
2009,"Jiangxi",84.7272891666667,13.8291508666667,0.55165,99.1080900333333,0.854897810442821
2009,"Shandong",672.234115996227,158.024250755213,8.7058158,838.96418255144,0.801266764394926
2009,"Henan",404.799112666667,24.1400984,8.44349,437.382701066667,0.92550325305382
2009,"Hubei",179.646919466667,29.0858626666667,3.60015443333333,212.332936566667,0.846062426166571
2009,"Hunan",170.338307333333,17.3842262,2.15900666666667,189.8815402,0.897076709794528
2009,"Guangdong",227.834269666667,113.798668133333,24.06492,365.6978578,0.623012316881739
2009,"Guangxi",85.7301228666667,5.00936846666667,0.261763333333333,91.0012546666667,0.942076273351308
2009,"Hainan",9.52422753333333,25.543078,0,35.0673055333333,0.271598498615186
2009,"Chongqing",115.167270533333,0.000307266666666667,10.6262933333333,125.793871133333,0.91552370155827
2009,"Sichuan",215.1490396,9.66814566666667,20.0714066666667,244.888591933333,0.878558849562786
2009,"Guizhou",217.893356633333,0,0.884803333333333,218.778159966667,0.995955705389111
2009,"Yunnan",150.709894345303,0.00140070582666667,0.074149548,150.78544459913,0.999498955260387
2009,"Shaanxi",185.886124882333,56.5690224,6.80584666666667,249.260993949,0.745748951480016
2009,"Gansu",73.1420228,44.2706740666667,1.58139666666667,118.994093533333,0.614669355664372
2009,"Qinghai",26.7208289113333,2.521436412,4.44086903333333,33.6831343566667,0.793299953276013
2009,"Ningxia",128.924358588593,5.61237994526,2.5904835,137.127222033853,0.940180634278182
