"province","year","gdp_100m_yuan","population_10k","gdp_percap","ln_gdp_percap"
"Fujian",2008,11104.2,3639,30514.4270403957,10.3259548684758
"Fujian",2009,12625.1,3666,34438.3524277141,10.4469261184808
"Fujian",2010,15236.6,3693,41258.0557812077,10.6276016643615
"Fujian",2011,18195.2,3784,48084.5665961945,10.780716543821
"Fujian",2012,20510.8,3841,53399.6355115855,10.8855591992993
"Fujian",2013,22851.7,3885,58820.3346203346,10.9822429009788
"Fujian",2014,25329.4,3945,64206.3371356147,11.0698571940841
"Fujian",2015,27307.5,3984,68542.921686747,11.1352154219894
"Fujian",2016,30199.2,4016,75197.2111553785,11.2278694235505
"Fujian",2017,34432.2,4065,84704.0590405904,11.346918802049
"Fujian",2018,39204.8,4104,95528.2651072125,11.4671774523875
"Fujian",2019,42479.1,4137,102680.928208847,11.5393816747655
"Fujian",2020,43682,4161,104979.572218217,11.5615210599096
"Fujian",2021,49602.6,4187,118468.115595892,11.682399136651
"Gansu",2008,3112.5,2551,12201.0976087809,9.40928119460733
"Gansu",2009,3313.8,2555,12969.8630136986,9.47038371547358
"Gansu",2010,3987.7,2560,15576.953125,9.65354773707768
"Gansu",2011,4880.7,2552,19125,9.85875165869474
"Gansu",2012,5469.1,2550,21447.4509803922,9.97336108188172
"Gansu",2013,6108.3,2537,24076.862435948,10.0890065934228
"Gansu",2014,6629.4,2531,26192.8091663374,10.1732401927782
"Gansu",2015,6793.4,2523,26925.8818866429,10.2008432549383
"Gansu",2016,7207.1,2520,28599.6031746032,10.2611481216978
"Gansu",2017,7642.6,2522,30303.7272006344,10.3190259938543
"Gansu",2018,8364.7,2515,33259.2445328032,10.4120880385023
"Gansu",2019,9053.3,2509,36083.3001195695,10.4935854367224
"Gansu",2020,9323.1,2501,37277.4890043982,10.5261449114988
"Gansu",2021,10608,2490,42602.4096385542,10.6596660949431
"Guangdong",2008,37351.5,9893,37755.483675326,10.5388860070501
"Guangdong",2009,40215.7,10130,39699.6051332675,10.5890965203605
"Guangdong",2010,46821.3,10441,44843.6931328417,10.7109382362575
"Guangdong",2011,54009.6,10756,50213.4622536259,10.824038442111
"Guangdong",2012,58057.6,11041,52583.6427859795,10.8701603767129
"Guangdong",2013,63757.3,11270,56572.5820763088,10.9432797312112
"Guangdong",2014,69593.4,11489,60573.9402907129,11.0116200513627
"Guangdong",2015,75820.8,11678,64926.1859907518,11.0810063034531
"Guangdong",2016,83493.4,11908,70115.3846153846,11.1578975156393
"Guangdong",2017,93004.8,12141,76603.9041265135,11.2464033221389
"Guangdong",2018,101875.9,12348,82503.9682539683,11.3206016712141
"Guangdong",2019,110468.1,12489,88452.3180398751,11.3902189065919
"Guangdong",2020,113708.9,12624,90073.5899873257,11.4083822817311
"Guangdong",2021,127577.4,12684,100581.362346263,11.5187222545364
"Guangxi",2008,6561.9,4816,13625.207641196,9.51967685913613
"Guangxi",2009,7243.4,4856,14916.392092257,9.61021602764248
"Guangxi",2010,8712,4610,18898.0477223427,9.84681390059828
"Guangxi",2011,10472.7,4655,22497.7443609023,10.0211703325405
"Guangxi",2012,11496.6,4694,24492.1175969323,10.1061066140289
"Guangxi",2013,12680.6,4731,26803.2128514056,10.1962770418287
"Guangxi",2014,13856.7,4770,29049.6855345912,10.2767629372504
"Guangxi",2015,15030.2,4811,31241.3219704843,10.3494969196551
"Guangxi",2016,16417.2,4857,33801.1117974058,10.4282489743445
"Guangxi",2017,18071.7,4907,36828.4083961687,10.5140247936307
"Guangxi",2018,19951.7,4947,40330.9076207803,10.6048733924686
"Guangxi",2019,21341.5,4982,42837.2139702931,10.6651624890737
"Guangxi",2020,22250.7,5019,44332.9348475792,10.6994831300949
"Guangxi",2021,25311.5,5037,50251.1415525114,10.8247885431262
"Guizhou",2008,3551.3,3596,9875.69521690768,9.19783198900341
"Guizhou",2009,3910.7,3537,11056.545094713,9.31077784785948
"Guizhou",2010,4583.7,3479,13175.3377407301,9.48610200805102
"Guizhou",2011,5690.5,3530,16120.3966005666,9.68784061877079
"Guizhou",2012,6828.1,3587,19035.6844159465,9.85407062382802
"Guizhou",2013,8079.9,3632,22246.4207048458,10.0099364074559
"Guizhou",2014,9297.5,3677,25285.5588795213,10.1379887164741
"Guizhou",2015,10887.1,3708,29361.1111111111,10.2874263263963
"Guizhou",2016,12133.9,3758,32288.1852048962,10.3824566591656
"Guizhou",2017,14067.3,3803,36990.0078885091,10.5184030980871
"Guizhou",2018,15886.6,3822,41566.1957090529,10.6350425127607
"Guizhou",2019,17251.8,3848,44833.1600831601,10.7107033250323
"Guizhou",2020,18308.3,3858,47455.4173146708,10.767545966429
"Guizhou",2021,19921.3,3852,51716.7705088266,10.8535373891115
"Hainan",2008,1502,854,17587.8220140515,9.77496201051169
"Hainan",2009,1652.2,864,19122.6851851852,9.85863061530053
"Hainan",2010,2073.7,869,23863.0609896433,10.0800869770146
"Hainan",2011,2525.1,890,28371.9101123596,10.2531548541356
"Hainan",2012,2863.6,910,31468.1318681319,10.3567306259873
"Hainan",2013,3201.9,920,34803.2608695652,10.4574663645211
"Hainan",2014,3541.2,936,37833.3333333333,10.5409458272355
"Hainan",2015,3782.7,945,40028.5714285714,10.5973487638297
"Hainan",2016,4151,957,43375.1306165099,10.6776415285763
"Hainan",2017,4552.9,972,46840.5349794239,10.7545042390688
"Hainan",2018,5004.2,982,50959.266802444,10.8387819024354
"Hainan",2019,5442.1,995,54694.472361809,10.9095179295892
"Hainan",2020,5640.8,1012,55739.1304347826,10.9284377005336
"Hainan",2021,6508.9,1020,63812.7450980392,11.0637082158092
"Hebei",2008,14403.8,6989,20609.2430962942,9.93349494813949
"Hebei",2009,15540.3,7034,22093.119135627,10.0030214876969
"Hebei",2010,18254.1,7194,25374.0617180984,10.1414827390338
"Hebei",2011,21711.7,7232,30021.7090707965,10.3096760346394
"Hebei",2012,23437.3,7262,32273.8914899477,10.3820138693449
"Hebei",2013,24659.1,7288,33835.2085620198,10.4292572127384
"Hebei",2014,25644.1,7323,35018.5716236515,10.4636338175623
"Hebei",2015,26744.1,7345,36411.3002042206,10.5026344506176
"Hebei",2016,28879.7,7375,39158.9152542373,10.5753833959093
"Hebei",2017,31065.5,7409,41929.410176812,10.6437427732119
"Hebei",2018,32947,7426,44367.0886075949,10.7002532259838
"Hebei",2019,35623.5,7447,47836.0413589365,10.7755346376869
"Hebei",2020,36821.5,7464,49332.127545552,10.8063308221352
"Hebei",2021,41205.4,7448,55324.1138560687,10.9209641477294
"Heilongjiang",2008,7215.1,3825,18863.0065359477,9.84495795684133
"Heilongjiang",2009,7315.8,3826,19121.2754835337,9.85855689377026
"Heilongjiang",2010,8434.7,3833,22005.4787372815,9.99904673484955
"Heilongjiang",2011,10074,3782,26636.7001586462,10.1900452490634
"Heilongjiang",2012,11171,3724,29997.3147153598,10.3088631471501
"Heilongjiang",2013,12017,3666,32779.5962902346,10.3975615364878
"Heilongjiang",2014,12357.1,3608,34249.1685144124,10.4414175664442
"Heilongjiang",2015,12023.2,3529,34069.7081326155,10.4361639439208
"Heilongjiang",2016,12280.9,3463,35463.182211955,10.4762503164916
"Heilongjiang",2017,12659.5,3399,37244.7778758458,10.5252670227275
"Heilongjiang",2018,13205.7,3327,39692.515779982,10.5889179295073
"Heilongjiang",2019,13962.5,3255,42895.5453149002,10.666523260711
"Heilongjiang",2020,14000.1,3171,44150.4257332072,10.6953578488669
"Heilongjiang",2021,15292.8,3125,48936.96,10.7982882181895
"Henan",2008,17541.9,9429,18604.1998090996,9.83114263040132
"Henan",2009,19077.1,9487,20108.675028987,9.90890659441943
"Henan",2010,22568.2,9405,23995.9595959596,10.0856407449893
"Henan",2011,26212.2,9461,27705.5279568756,10.2293872374951
"Henan",2012,28878.5,9532,30296.3701216953,10.3187831863573
"Henan",2013,31621.4,9573,33031.8604408231,10.405227842588
"Henan",2014,34611.2,9645,35885.1218247797,10.4880780547248
"Henan",2015,36798.2,9701,37932.37810535,10.5435603299322
"Henan",2016,40167.7,9778,41079.6686438945,10.6232685978925
"Henan",2017,44586.5,9829,45362.193509004,10.7224342950147
"Henan",2018,50273.5,9864,50966.6463909165,10.8389267054252
"Henan",2019,53739.3,9901,54276.6387233613,10.9018491872591
"Henan",2020,54160.6,9941,54482.0440599537,10.9056264595754
"Henan",2021,57806.9,9883,58491.2475968835,10.9766324082982
"Hubei",2008,11707.8,5711,20500.4377517072,9.92820151864033
"Hubei",2009,13422.6,5720,23466.0839160839,10.0633114200483
"Hubei",2010,16489.1,5728,28786.8365921788,10.2676734988674
"Hubei",2011,20228.3,5760,35118.5763888889,10.4664855113036
"Hubei",2012,22921,5781,39648.8496799862,10.5878172147881
"Hubei",2013,25851.7,5798,44587.2714729217,10.705203704292
"Hubei",2014,28805.9,5816,49528.7138927098,10.8103078590168
"Hubei",2015,30661.6,5850,52412.9914529915,10.8669097680721
"Hubei",2016,33767.6,5885,57379.0994052676,10.9574353941397
"Hubei",2017,37624.2,5904,63726.6260162602,11.0623577450625
"Hubei",2018,42425.5,5917,71701.030927835,11.1802604048363
"Hubei",2019,45557,5927,76863.5059895394,11.249786478347
"Hubei",2020,43017.6,5745,74878.3289817232,11.2236197949533
"Hubei",2021,50012.9,5830,85785.4202401372,11.3596043437657
"Hunan",2008,11707.8,6380,18350.7836990596,9.81742756096635
"Hunan",2009,12965.9,6406,20240.2435216984,9.91542815503349
"Hunan",2010,15814.9,6570,24071.3850837139,10.0887790731063
"Hunan",2011,19176.4,6581,29139.0366205744,10.2798340188243
"Hunan",2012,21513.7,6590,32645.9787556904,10.3934769649661
"Hunan",2013,23916.3,6600,36236.8181818182,10.4978309577874
"Hunan",2014,26309.1,6611,39795.9461503555,10.5915203305662
"Hunan",2015,28811.7,6615,43555.1020408163,10.681782129054
"Hunan",2016,31225,6625,47132.0754716981,10.7607090561155
"Hunan",2017,34127.7,6633,51451.3794663048,10.8483925526871
"Hunan",2018,36629.3,6635,55206.1793519216,10.918830170781
"Hunan",2019,39930.7,6640,60136.5963855422,11.004373860088
"Hunan",2020,41693.7,6645,62744.4695259594,11.0468257180654
"Hunan",2021,45751.9,6622,69090.7580791302,11.143176253765
"Inner Mongolia",2008,6352.4,2444,25991.8166939444,10.1655370249212
"Inner Mongolia",2009,7227,2458,29401.9528071603,10.2888163731332
"Inner Mongolia",2010,8342.1,2472,33746.359223301,10.4266278156166
"Inner Mongolia",2011,9610.8,2470,38910.1214574899,10.5690096874718
"Inner Mongolia",2012,10638.9,2464,43177.3538961039,10.6730714214153
"Inner Mongolia",2013,11584.9,2455,47189.0020366599,10.7619161367253
"Inner Mongolia",2014,12377.3,2449,50540.2204981625,10.8305247437772
"Inner Mongolia",2015,13062.7,2440,53535.6557377049,10.8881031732837
"Inner Mongolia",2016,13879,2436,56974.5484400657,10.9503599285022
"Inner Mongolia",2017,15009.9,2433,61692.9716399507,11.0299252915728
"Inner Mongolia",2018,16252.9,2422,67105.2848885219,11.1140180812371
"Inner Mongolia",2019,17479.4,2415,72378.4679089027,11.1896641295671
"Inner Mongolia",2020,17623.4,2403,73339.1593841032,11.2028499796576
"Inner Mongolia",2021,21584.8,2400,89936.6666666667,11.406860997893
"Jiangsu",2008,31445.7,7762,40512.3679464056,10.609362587868
"Jiangsu",2009,35074.6,7810,44909.8591549296,10.7124126299141
"Jiangsu",2010,42175.2,7869,53596.6450629051,10.8892417529899
"Jiangsu",2011,49689.5,8023,61933.8152810669,11.0338215983815
"Jiangsu",2012,54658.4,8120,67313.3004926108,11.1171131260117
"Jiangsu",2013,60505.2,8192,73858.88671875,11.2099116154355
"Jiangsu",2014,66228.3,8281,79976.2106025842,11.2894845019658
"Jiangsu",2015,71876,8315,86441.3710162357,11.3672216713955
"Jiangsu",2016,78261.2,8381,93379.3103448276,11.4444250830278
"Jiangsu",2017,86512.9,8423,102710.316989196,11.5396678484096
"Jiangsu",2018,93456.3,8446,110651.551030073,11.614141362824
"Jiangsu",2019,99836.9,8469,117885.110402645,11.6774657884963
"Jiangsu",2020,104566.6,8477,123353.308953639,11.7228079473264
"Jiangsu",2021,119853.2,8505,140920.870076426,11.855953806694
"Jiangxi",2008,7028.7,4400,15974.3181818182,9.67873759801053
"Jiangxi",2009,7733,4432,17448.1046931408,9.7669863081581
"Jiangxi",2010,9503.4,4462,21298.5208426714,9.96639290528013
"Jiangxi",2011,11717.4,4474,26189.9865891819,10.1731324254429
"Jiangxi",2012,12952.8,4475,28944.8044692737,10.2731460012398
"Jiangxi",2013,14473.4,4476,32335.5674709562,10.3839230634702
"Jiangxi",2014,15858.6,4480,35398.6607142857,10.4744292654764
"Jiangxi",2015,17031.1,4485,37973.4671125975,10.5446429609507
"Jiangxi",2016,18761.2,4496,41728.6476868327,10.638943166802
"Jiangxi",2017,20497.6,4511,45439.1487475061,10.72412931967
"Jiangxi",2018,23016.9,4513,51001.329492577,10.8396069798486
"Jiangxi",2019,24724,4516,54747.5642161205,10.9104881574858
"Jiangxi",2020,25825.4,4519,57148.4841779155,10.9534081453002
"Jiangxi",2021,29838.2,4517,66057.5603276511,11.098281767104
"Jilin",2008,4905.4,2734,17942.2092172641,9.79491127280612
"Jilin",2009,5515.3,2740,20128.8321167883,9.90990849990102
"Jilin",2010,6505.9,2747,23683.6548962505,10.0725404223688
"Jilin",2011,7857.7,2725,28835.5963302752,10.2693658866151
"Jilin",2012,8831.3,2698,32732.7650111193,10.396131843338
"Jilin",2013,9608.6,2668,36014.2428785607,10.4916697747107
"Jilin",2014,10077,2642,38141.5594246783,10.5490597651743
"Jilin",2015,10162.9,2613,38893.6088786835,10.5685852199306
"Jilin",2016,10603.5,2567,41306.973120374,10.6287866053842
"Jilin",2017,11083,2526,43875.6927949327,10.6891157508414
"Jilin",2018,11437.4,2484,46044.2834138486,10.737358895299
"Jilin",2019,11949.4,2448,48812.908496732,10.7957500752381
"Jilin",2020,12499.5,2399,52102.959566486,10.8609770316269
"Jilin",2021,13431.1,2375,56552,10.9429158478508
"Liaoning",2008,12303,4315,28512.1668597914,10.2580861825188
"Liaoning",2009,13003.2,4341,29954.3883897719,10.3074311166755
"Liaoning",2010,14105.8,4375,32241.8285714286,10.3810199124883
"Liaoning",2011,16585.3,4379,37874.6289107102,10.5420367450266
"Liaoning",2012,18127.6,4375,41434.5142857143,10.6318694908955
"Liaoning",2013,19534.3,4365,44752.1191294387,10.7088940774296
"Liaoning",2014,20381.5,4358,46768.0128499312,10.75295476211
"Liaoning",2015,20657.8,4338,47620.5624711849,10.7710199316297
"Liaoning",2016,20832,4327,48144.2107695863,10.7819561767596
"Liaoning",2017,22105.4,4312,51264.8423005566,10.8447604609375
"Liaoning",2018,24113.5,4291,56195.5255185272,10.9365924156041
"Liaoning",2019,25665.9,4277,60009.1185410334,11.002251805341
"Liaoning",2020,25839,4255,60726.2044653349,11.014130588426
"Liaoning",2021,28471,4229,67323.2442657839,11.1172608388516
"Ningxia",2008,1153.7,618,18668.284789644,9.83458136245174
"Ningxia",2009,1284.8,625,20556.8,9.93094706543228
"Ningxia",2010,1595.3,633,25202.2116903634,10.134687035139
